Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6JH5wCoto58vgqa61jvazc,"JAPONÊS","JAPONÊS","Brandão85;Matuê",2025-11-30,192591,69,false,31issvbo2go74xaihjj5ccogxvni,2026-01-12T23:38:07Z,"trap brasileiro,trap,hip hop brasileiro,trap funk","30PRAUM",0.604,0.814,8,-4.478,0,0.0323,0.00249,0,0.347,0.303,144.122,4
spotify:track:2leUlqP2JDMXUWYKtoVT10,"sua vez de se apresentar","brigas de inverno","G.A;CJota;Supernova Ent",2025-05-22,140495,48,false,31issvbo2go74xaihjj5ccogxvni,2026-01-12T23:40:50Z,"trap brasileiro,trap funk,trap,hip hop brasileiro","Supernova Entertainment",0.773,0.611,1,-5.38,1,0.114,0.473,0,0.112,0.697,92.274,3
spotify:track:6iqKv3VXCmX0y074NFQ2xf,"a noite chega","a noite chega","G.A;Ryu, The Runner;MC Koringa;Bvga Beatz;Supernova Ent",2024-02-28,171219,44,true,31issvbo2go74xaihjj5ccogxvni,2026-01-12T23:40:54Z,"trap brasileiro,trap funk,trap,hip hop brasileiro,funk melody,funk,funk carioca","Supernova Entertainment",0.811,0.481,10,-8.444,0,0.147,0.487,0,0.189,0.607,115.006,4
spotify:track:3c3JcAioFbRXXWQwkdfmZH,"Veterano","Veterano","Lipinho Oficial;Vinicin;Surfista;Ryuchi;Ian Durso;JVMVO",2025-04-03,240000,73,true,31issvbo2go74xaihjj5ccogxvni,2026-01-26T18:31:39Z,"trap funk,trap brasileiro","Sony Music Entertainment",0.495,0.677,4,-4.749,0,0.288,0.573,0,0.103,0.249,79.455,4
spotify:track:31X6ihiAWsNnKRky0R8532,"TUDO DE NOVO","CAOS DLX","Alee;Filipe Ret;Qualywav1",2025-07-24,225391,70,false,31issvbo2go74xaihjj5ccogxvni,2026-02-05T01:15:03Z,"trap brasileiro,trap,hip hop brasileiro,trap funk","Alee",0.533,0.47,1,-6.203,1,0.0644,0.18,0,0.117,0.0641,172.534,3
spotify:track:7gqvuWPZdjOuLwfPIgIBGn,"PARTY","CAOS DLX","Alee;Qualywav1;saboya;Anezzi;Klisman;Del Jay",2025-07-24,232188,51,true,31issvbo2go74xaihjj5ccogxvni,2026-02-05T01:15:07Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","Alee",0.845,0.666,10,-6.5,0,0.147,0.191,0,0.102,0.722,118.041,4
spotify:track:5gLmMNEvDcl0Kb1EX8b69m,"LUZ, CAMA E AÇÃO","CAOS DLX","Alee;MC Cabelinho;Qualywav1",2025-07-24,182000,69,true,31issvbo2go74xaihjj5ccogxvni,2026-02-05T01:15:13Z,"trap brasileiro,trap,trap funk,hip hop brasileiro,funk consciente","Alee",0.807,0.781,4,-4.337,0,0.0635,0.385,0.00000108,0.141,0.792,120.009,4
spotify:track:4mWvUyxAax81We11pYY4up,"Semi Nua 2","Semi Nua 2","Mc Iguinho Ct;Mc Negão Original;Aaron Modesto;Mc Dena;MC GP;MC Ryan SP;MC Willian;DJ Guh Mix;DU'L;MC RN do Capão;Marquinho no Beat",2026-03-02,655238,77,false,31issvbo2go74xaihjj5ccogxvni,2026-03-02T21:45:18Z,"funk,trap funk,funk consciente,trap brasileiro,trap","Universal Music Ltda.",0.586,0.523,6,-6.618,0,0.37,0.634,0,0.121,0.659,126.004,4
spotify:track:606Ps4kfMlkeZp0Zr6Xzrk,"Pataco","Pataco","Mc Paiva ZS;Kotim",2022-04-15,163200,48,true,31issvbo2go74xaihjj5ccogxvni,2026-04-06T20:10:43Z,"funk,trap funk,funk consciente,funk carioca","Love Funk",0.686,0.613,10,-5.874,0,0.651,0.278,0,0.167,0.639,126.091,5
spotify:track:6LqDnSBJx701Y2LmmymdCX,"RELAÇÃO 👩‍❤️‍👨","RELAÇÃO 👩‍❤️‍👨","KayBlack;Vulgo FK;Murillo e LT no Beat;Honaiser",2025-11-24,209000,41,false,31issvbo2go74xaihjj5ccogxvni,2026-04-06T20:10:48Z,"trap brasileiro,trap funk,trap,hip hop brasileiro,funk,funk consciente","WM Brazil",0.564,0.434,4,-8.491,0,0.45,0.531,0,0.0936,0.273,82.822,3
spotify:track:22bl3LPkCHQSBhCAdw8Jwk,"Famoso Ímã | O poderoso chatão","Famoso Ímã | O poderoso chatão","Mc Lele JP;Mc Poze do Rodo;MC Leozinho ZS;DJ GORDINHO DA VF",2026-02-18,217845,85,false,31issvbo2go74xaihjj5ccogxvni,2026-04-06T20:10:54Z,"funk,funk consciente,trap funk,trap brasileiro,trap,hip hop brasileiro","GRINGOS WORLD PRODUTORA",0.84,0.716,0,-1.429,1,0.259,0.52,0.00000768,0.205,0.578,129.945,4
spotify:track:4wWPkfssVcfBxJ7e2rGg6B,"ESTRESSE","CAOS","Alee",2024-09-23,164871,60,true,31issvbo2go74xaihjj5ccogxvni,2026-04-06T20:10:59Z,"trap brasileiro,trap","ALEE",0.706,0.573,6,-5.959,0,0.0691,0.00654,0,0.215,0.269,81.999,3
spotify:track:454nbk64HIJEeHqPbzj7KM,"Tá Facin","Ninguém Tá Puro!","Mc IG;Mc Davi;Mc Don Juan;DJ Oreia;Dj Nene;TrapLaudo;MC Tuto;MC PH;Mc Kanhoto;MC Rick;MC Kekel;Prod Vida",2023-03-15,520677,58,true,31issvbo2go74xaihjj5ccogxvni,2026-04-06T20:11:24Z,"funk,trap funk,funk consciente,trap brasileiro,funk de bh","GR6 Music",0.56,0.568,1,-5.989,0,0.277,0.651,0,0.138,0.686,84.045,3
spotify:track:3ZGRfvhfCDwdYrFaBJdcBf,"Perfil do Mohamed","O PODEROSO CHATÃO","Mc Lele JP;Mc IG;MC Tuto;MC Ryan SP;Mc Kelvinho;DJ Oreia",2026-04-07,375000,60,true,31issvbo2go74xaihjj5ccogxvni,2026-04-08T01:09:46Z,"funk,funk consciente,trap funk","GRINGOS WORLD PRODUTORA",0.854,0.682,1,-3.516,0,0.388,0.0511,0,0.617,0.85,127.972,4
spotify:track:1YiqOS5qfhZ2eQ9CcCiDWJ,"Tropa do 77","O PODEROSO CHATÃO","Mc Lele JP;Mc IG;Menó Prodígio;MC GP;Mc Menor Kau;Dj GBR",2026-04-07,297692,61,true,31issvbo2go74xaihjj5ccogxvni,2026-04-08T01:09:53Z,"funk,funk consciente,trap funk","GRINGOS WORLD PRODUTORA",0.718,0.775,11,-5.563,0,0.425,0.424,0.00000152,0.145,0.928,127.005,4
spotify:track:3oh5Sh53WJX5xldjB5Bc7D,"Contada De Mestre","O PODEROSO CHATÃO","Mc Lele JP;DJ Oreia",2026-04-07,200314,53,true,31issvbo2go74xaihjj5ccogxvni,2026-04-08T01:09:58Z,"funk,funk consciente,trap funk","GRINGOS WORLD PRODUTORA",0.513,0.707,3,-5.688,0,0.277,0.62,0,0.649,0.907,112.592,1
spotify:track:2Xl5RwcGn1aQFhpoexDmqA,"Pirocada Quente 2","Pirocada Quente 2","MC Jvila;Mc Negão Original;DJ Dael",2026-04-07,187500,65,true,31issvbo2go74xaihjj5ccogxvni,2026-04-09T02:51:26Z,"funk,trap funk,funk consciente","Legenda Records",0.835,0.896,11,-2.573,0,0.175,0.267,0,0.214,0.9,127.962,4
spotify:track:23UA1xPVXbUHv1JFR2haY3,"Bebela Do Cabelão","O PODEROSO CHATÃO","Mc Lele JP;Oldilla",2026-04-07,143622,62,true,31issvbo2go74xaihjj5ccogxvni,2026-04-09T17:23:02Z,"funk,funk consciente,trap funk","GRINGOS WORLD PRODUTORA",0.861,0.598,0,-6.739,0,0.161,0.117,0.0000136,0.0786,0.864,127.09,4
