Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5ME83xsz5O9u3A0qhMtKyj,"Jogo do Corinthians","Meu Nome Não é Igor %","Mc IG;Murillo e LT no Beat",2023-08-31,146776,57,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:47:35Z,"funk,trap funk,funk consciente,trap brasileiro","WM Brazil",0.716,0.422,0,-7.56,0,0.258,0.241,0,0.151,0.646,121.036,4
spotify:track:3Q36LH3rlABCEt4JMLbD8p,"Vergonha pra Mídia (feat. MC Ryan SP & Mc Lele JP)","Vergonha pra Mídia (feat. MC Ryan SP & Mc Lele JP)","Salvador Da Rima;NOG;Mc Kevin;MC Ryan SP;Mc Lele JP",2020-04-01,385357,69,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:47:37Z,"funk consciente,funk,trap funk,trap brasileiro,hip hop brasileiro","Rap RJ",0.814,0.671,0,-6.813,1,0.297,0.219,0,0.0736,0.593,83.944,4
spotify:track:1i2kguziI3ZbUZnZMKNhQ2,"400K","Ninguém Tá Puro!","Mc IG;DJ Jorgin",2023-03-15,163500,68,false,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:47:41Z,"funk,trap funk,funk consciente","GR6 Music",0.768,0.52,5,-5.916,0,0.05,0.347,0,0.0843,0.838,79.97,4
spotify:track:44SHcghjva9vipAIyTvxnw,"Goodnight Menina 2","Ninguém Tá Puro!","Mc IG;DJ Glenner;Fepache",2023-03-15,149052,67,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:47:43Z,"funk,trap funk,funk consciente","GR6 Music",0.494,0.519,9,-7.039,0,0.165,0.343,0,0.232,0.391,94.914,4
spotify:track:6O9jSv39iYQjUeOA2JoBvg,"Magnata","Magnata","Mc Paiva ZS;Kotim",2021-12-10,119457,57,false,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:47:45Z,"funk,trap funk,funk consciente,funk carioca","LOVE FUNK",0.839,0.631,0,-7.134,0,0.119,0.629,0,0.0882,0.514,130.046,4
spotify:track:5qoyC8lcuuQ7s7QmtvLDiV,"Passar de Foguetão","Passar de Foguetão","Mc Don Juan;Mc Kevin;MC Ryan SP;Perera DJ",2021-01-21,247578,63,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:47:45Z,"funk,funk consciente,trap funk","GR6 Music",0.635,0.352,2,-9.109,1,0.464,0.613,0,0.101,0.151,97.518,4
spotify:track:1eQNfAxNIp3bBTMVOPCIsI,"Pula Catraca","Pula Catraca","Mc Kevin;Dj Nene",2020-04-17,192000,64,false,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:47:46Z,"funk,funk consciente,trap funk","GR6 Music",0.784,0.716,2,-3.287,0,0.0786,0.245,0,0.0967,0.195,129.973,4
spotify:track:0dyr2vWp1BXPAGRepsCnJQ,"Hit do Ano - O Peso da Luta","Hit do Ano - O Peso da Luta","MC Hariel;Mc Don Juan;Mc Kevin;MC Leozinho ZS;Mc IG;MC Marks;MC Neguinho do Kaxeta;Mc Vitão Do Savoy;MC Ryan SP;MC Menor da VG;Mc Lele JP;Mc Kelvinho;Perera DJ;DJ Pedro;Djay W;DJ Murillo;LTnoBeat",2021-02-05,744727,63,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:47:48Z,"funk,funk consciente,trap funk,hip hop brasileiro,boom bap","GR6 Music",0.683,0.429,2,-6.319,0,0.435,0.72,0,0.12,0.416,109.957,5
spotify:track:3IZA1IsJi4VPLxJy858rHn,"Jacaré no Peito","Jacaré no Peito","Mc Paiva ZS;MC Ryan SP;Gabb MC;MC Lemos;MC Leozinho ZS;Oldilla",2022-03-03,259764,48,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:47:49Z,"funk,trap funk,funk consciente,funk carioca","Love Funk",0.621,0.503,1,-7.141,0,0.11,0.521,0.00000541,0.0559,0.738,113.079,3
spotify:track:3SaBoJ7DpqaZ0W5dU7998H,"Postura de Bandido Mau","Tropa 7Lc","Mc Anjim",2019-12-01,180976,67,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:47:51Z,"funk de bh,funk","MC Anjim 7Lc",0.566,0.61,8,-3.187,1,0.0816,0.729,0,0.0913,0.65,129.998,4
spotify:track:5vT597y9XW27TDo43Sx5SP,"Predominante","Predominante","Mc Paiva ZS;DJ MAYK",2021-11-19,161333,55,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:47:52Z,"funk,trap funk,funk consciente,funk carioca","Love Funk",0.799,0.488,10,-9.42,0,0.0883,0.179,0,0.0758,0.699,90.079,4
spotify:track:5SHXAn3kfXh5fwJFUtzqZX,"Tá Querendo","Tá Querendo","Gaab;Gabb MC",2022-10-21,157125,52,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:47:54Z,"pagode,funk,funk consciente,trap funk","Som Livre",0.767,0.423,7,-4.976,1,0.0626,0.635,0.0000183,0.107,0.849,80.049,4
