Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:466cKvZn1j45IpxDdYZqdA,"Toosie Slide","Dark Lane Demo Tapes","Drake",2020-05-01,247058,74,true,31pukwc6x5g7m2u2elje37e7ppje,2026-03-29T13:20:57Z,"rap","OVO",0.83,0.49,1,-8.82,0,0.209,0.289,0.00000304,0.113,0.845,81.604,4
spotify:track:1rfeGx4ELUmW0z4rznid92,"Continuo fazendo grana","PRA SEMPRE NO MESMO BAIRRO","Niink;Supernova Ent",2025-03-27,124142,46,true,31pukwc6x5g7m2u2elje37e7ppje,2026-03-31T00:12:47Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","Supernova Ent",0.867,0.582,9,-8.865,0,0.0665,0.31,0.00518,0.118,0.347,115.982,4
spotify:track:6hdttnSKaHJHAb4ohCl19b,"WARZONE","WARZONE","Brandão85",2026-03-30,166285,51,false,31pukwc6x5g7m2u2elje37e7ppje,2026-03-31T00:22:56Z,"trap brasileiro,trap","30PRAUM",0.709,0.771,9,-2.461,1,0.257,0.0573,0.00000468,0.297,0.713,139.741,4
spotify:track:3Rc0BGklC1QmiNIq7FeKay,"MIGOS","ISSO É TRAP","Brandão85;Jé",2025-06-18,148732,61,true,31pukwc6x5g7m2u2elje37e7ppje,2026-03-31T00:24:07Z,"trap brasileiro,trap,hip hop brasileiro","30PRAUM",0.854,0.652,2,-3.171,1,0.0497,0.0189,0.00000182,0.11,0.139,141.952,4
spotify:track:7n5vy8RiQ2lG1DNxvhazc2,"ÍCONES GLOBAIS","H.A.R.D","Ghard;Supernova Ent;Vulgo FK",2025-06-13,167547,60,false,31pukwc6x5g7m2u2elje37e7ppje,2026-03-31T09:21:47Z,"trap brasileiro,trap,trap funk,hip hop brasileiro,funk","Supernova",0.919,0.556,5,-7.431,0,0.0945,0.555,0.00000933,0.0981,0.522,106.01,4
spotify:track:2S1wKnO0G3o7KTttBF3Di8,"PERGAMINHO","H.A.R.D","Ghard;Supernova Ent",2025-06-13,140800,43,true,31pukwc6x5g7m2u2elje37e7ppje,2026-03-31T09:22:27Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","Supernova",0.802,0.539,1,-5.421,1,0.311,0.402,0,0.145,0.175,75.023,4
spotify:track:5VyEKnUdX9l9ReUNsetUqL,"MSN","MSN","Niink;Nagalli;Supernova Ent",2023-10-05,129836,49,true,31pukwc6x5g7m2u2elje37e7ppje,2026-03-31T09:25:28Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","Supernova Ent",0.892,0.547,5,-7.057,0,0.0715,0.59,0,0.108,0.53,122.067,4
spotify:track:03trGuoe1iyuz6bIYsfPNH,"Saiba escolher a mulher pro seu lado","AINDA NO MESMO BAIRRO","Niink;Supernova Ent;Nagalli;Toledo;Stick",2024-10-31,194377,48,false,31pukwc6x5g7m2u2elje37e7ppje,2026-03-31T09:25:58Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","Supernova Ent",0.565,0.651,8,-6.616,0,0.295,0.342,0,0.126,0.278,107.538,3
spotify:track:3eN9gbbEQCRiW3bT5zjeNX,"BIG MONEY","CAOS DLX","Alee;Neckklace;C4rlinhxs;Pluck D",2025-07-24,122818,60,true,31pukwc6x5g7m2u2elje37e7ppje,2026-03-31T09:46:56Z,"trap brasileiro,trap","Alee",0.485,0.625,1,-6.455,1,0.0422,0.000635,0.00264,0.289,0.0771,87.652,3
spotify:track:1uLZIHQ6MR5lzVUqfKDWzJ,"bb do brasil","pq elas preferem os canalhas?","G.A;Supernova Ent",2025-10-09,115862,45,true,31pukwc6x5g7m2u2elje37e7ppje,2026-04-02T00:29:45Z,"trap brasileiro,trap funk,trap,hip hop brasileiro","Supernova Ent",0.782,0.469,8,-6.907,0,0.253,0.247,0,0.161,0.274,116.223,4
spotify:track:3pED9DRhojHZtPmtgnqqTx,"CALVIN KLEIN","CALVIN KLEIN","Vulgo FK;Veigh;Pedro Lotto;Honaiser;Galdino;Toledo",2024-10-23,175861,46,true,31pukwc6x5g7m2u2elje37e7ppje,2026-04-02T17:01:32Z,"trap brasileiro,trap funk,trap,funk,hip hop brasileiro","Som Livre",0.493,0.277,2,-15.968,0,0.235,0.798,0,0.13,0.21,116.902,4
spotify:track:7m152HAOwXAVINMeAWeIAH,"História Viva","História Viva","MIBR;Veigh;Supernova Ent",2023-01-18,187826,44,true,31pukwc6x5g7m2u2elje37e7ppje,2026-04-02T17:05:51Z,"trap brasileiro,trap funk,trap,hip hop brasileiro","MIBR",0.801,0.562,0,-7.414,1,0.427,0.131,0,0.0762,0.3,115.009,4
spotify:track:4UXDRe1cs86NiTivOBFWA2,"Tipo Aladin 🍀","Tipo Aladin 🍀","Mc IG;TrapLaudo;MC GP;DJ Express",2025-05-12,207889,42,false,31pukwc6x5g7m2u2elje37e7ppje,2026-04-03T17:39:22Z,"funk,trap funk,funk consciente","WM Brazil",0.507,0.466,10,-10.51,0,0.252,0.477,0,0.17,0.85,87.009,1
spotify:track:6BsKZXjKIrGWMK1uLWfJYN,"Sal e Pimenta","Sal e Pimenta","KayBlack;Veigh;Vulgo FK;WEY;Nagalli",2023-03-30,206451,63,false,31pukwc6x5g7m2u2elje37e7ppje,2026-04-05T04:15:42Z,"trap brasileiro,trap funk,trap,hip hop brasileiro,funk","WM Brazil",0.609,0.53,9,-6.861,0,0.411,0.0434,0,0.101,0.278,118.152,5
spotify:track:27x579ayIvantoVe6PP97U,"Opções","O Mais Novo Romântico","Chefin;Veigh;KayBlack;Mainstreet;Ajaxx;Tkd",2023-08-03,180821,60,true,31pukwc6x5g7m2u2elje37e7ppje,2026-04-05T04:16:22Z,"trap brasileiro,trap funk,trap,funk,hip hop brasileiro","Mainstreet Records",0.777,0.617,4,-6.77,0,0.235,0.114,0,0.0837,0.801,145.908,4
spotify:track:46XfbZcpkwoK75I0DVUP3b,"COLETE","CEO","Brandão85",2024-10-23,167300,25,true,31pukwc6x5g7m2u2elje37e7ppje,2026-04-05T21:13:08Z,"trap brasileiro,trap","30PRAUM",0.652,0.704,0,-7.178,1,0.0343,0.122,0.00000786,0.386,0.252,119.976,4
spotify:track:6yMwEg04MIcrJpcokK75yI,"PRÊMIO MULTISHOW","PRÊMIO MULTISHOW","Ryu, The Runner;Neckklace;SMOKEFUSION",2026-04-07,124662,45,true,31pukwc6x5g7m2u2elje37e7ppje,2026-04-08T00:22:21Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","Som Livre",0.918,0.844,1,-2.118,1,0.111,0.01,0,0.0625,0.692,149.934,4
spotify:track:2PbD14DN9BtaGQBzwA6pc2,"Tudo Passa","Tudo Passa","Niink;Menor MC;Supernova Ent",2025-03-26,185806,38,false,31pukwc6x5g7m2u2elje37e7ppje,2026-04-09T23:30:02Z,"trap brasileiro,trap,trap funk,funk,hip hop brasileiro","Supernova Ent",0.801,0.538,1,-6.868,0,0.322,0.214,0,0.191,0.386,123.865,4
spotify:track:39dyVueQFUdHl9asJymaWt,"SLIME FALA CMG","SLIME FALA CMG","Fabiow011;Niink;Supernova Ent",2026-03-26,173500,41,false,31pukwc6x5g7m2u2elje37e7ppje,2026-04-10T01:19:33Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","SN Records",0.8,0.537,8,-9.15,1,0.334,0.49,0.0000235,0.141,0.422,138.118,4
spotify:track:14D2c3VOCeelsR25ElvukU,"MAZE BANK","ISSO É TRAP","Brandão85",2025-06-18,148965,56,true,31pukwc6x5g7m2u2elje37e7ppje,2026-04-14T02:01:47Z,"trap brasileiro,trap","30PRAUM",0.725,0.55,0,-5.278,1,0.0746,0.138,0.00000139,0.0955,0.415,145.037,4
spotify:track:5USEa1Qge2R76REs8NQGmJ,"Medley 2023","Medley 2023","Mc IG;DJ Glenner",2023-01-11,469391,60,true,31pukwc6x5g7m2u2elje37e7ppje,2026-04-14T03:04:00Z,"funk,trap funk,funk consciente","GR6 Music",0.802,0.418,11,-4.861,0,0.456,0.331,0,0.163,0.628,119.774,5
spotify:track:4l5BQRypyRhbt3PzLPNPNf,"Sempre Tem","Meu Nome Não é Igor %","Mc IG;DJ Glenner",2023-08-31,203294,56,true,31pukwc6x5g7m2u2elje37e7ppje,2026-04-14T09:00:22Z,"funk,trap funk,funk consciente","WM Brazil",0.411,0.247,11,-13.961,0,0.161,0.775,0,0.0871,0.217,84.004,4
